frame_number,track_id,x1,y1,x2,y2
33,8,1348,144,2465,342
33,9,639,162,1261,388
33,10,1024,213,1947,494
33,11,1537,253,2727,582
33,12,1169,140,2374,339
33,13,653,485,1284,983
33,14,921,106,1734,268
33,15,833,57,1667,160
33,16,1178,232,1891,531
33,17,574,440,1192,944
33,18,557,408,1143,901
33,20,784,456,1690,970
33,26,1038,238,1918,550
33,32,824,425,1692,916
33,35,923,209,1806,464
33,36,907,232,1830,540
33,39,817,104,1664,262
33,40,745,84,1500,179
34,2,707,163,1394,396
34,3,1037,198,2115,462
34,4,460,439,1004,965
34,5,282,270,607,627
34,6,1066,364,2241,813
34,7,968,96,1950,238
34,8,1363,145,2484,343
34,9,632,163,1256,388
34,10,1033,214,1958,496
34,11,1551,253,2738,581
34,12,1168,141,2373,339
34,13,591,469,1225,972
34,14,932,106,1748,269
34,15,826,57,1662,160
34,16,1196,232,1908,531
34,17,567,432,1186,937
34,18,553,405,1146,904
34,20,774,436,1680,954
34,26,1051,238,1933,552
34,32,796,423,1691,933
34,35,887,210,1823,481
34,36,907,234,1832,541
34,39,816,104,1660,261
34,40,744,84,1500,179
35,2,700,163,1388,396
35,3,1032,199,2111,464
35,4,452,436,994,962
35,5,274,271,598,628
35,6,1064,363,2235,812
35,7,963,96,1948,238
35,8,1378,146,2503,345
35,9,627,163,1253,388
35,10,895,219,1817,500
35,11,1564,253,2750,581
35,12,1167,141,2371,340
35,13,574,426,1201,925
35,14,943,106,1762,270
35,15,820,57,1657,160
35,16,1213,232,1926,531
35,17,585,414,1181,899
35,18,541,407,1141,911
35,20,762,436,1668,954
35,26,1064,239,1949,553
35,32,776,420,1673,936
35,35,867,211,1825,490
35,36,907,234,1833,541
35,39,810,103,1657,261
35,40,744,84,1500,179
36,2,692,163,1384,396
36,3,1027,200,2106,465
36,4,447,433,985,959
36,5,263,272,585,630
36,6,1061,361,2230,812
36,7,962,95,1945,237
36,8,1394,146,2523,346
36,9,623,163,1250,389
36,10,884,217,1805,498
36,11,1577,252,2761,580
36,12,1167,141,2371,340
36,13,568,423,1194,921
36,14,954,107,1776,271
36,15,815,58,1656,161
36,16,1230,233,1943,532
36,17,584,406,1183,893
36,18,529,407,1129,912
36,20,751,436,1656,954
36,26,1078,240,1964,554
36,32,764,417,1652,931
36,35,860,211,1819,491
36,36,907,233,1834,542
36,39,805,103,1653,261
36,40,744,83,1500,179
37,2,687,163,1381,397
37,3,1023,201,2100,466
37,4,445,430,981,957
37,5,252,274,572,631
37,6,1077,359,2206,793
37,7,960,94,1943,237
37,8,1409,147,2542,348
37,9,619,164,1248,389
37,10,882,218,1804,499
37,11,1239,320,2580,696
37,12,1169,141,2372,339
37,13,623,465,1244,958
37,14,965,107,1790,272
37,15,809,57,1656,161
37,16,1248,233,1961,532
37,17,584,405,1183,890
37,18,519,408,1118,914
37,20,739,436,1644,954
37,26,1091,240,1979,556
37,32,752,415,1629,926
37,35,856,210,1810,491
37,36,906,233,1835,542
37,39,801,103,1650,262
37,40,744,83,1501,179
38,2,682,164,1378,398
38,3,1021,201,2094,466
38,4,441,428,977,957
38,5,242,275,560,632
38,6,1082,358,2194,785
38,7,958,94,1942,237
38,8,1424,148,2561,349
38,9,614,164,1247,390
38,10,879,219,1802,500
38,11,1248,303,2567,675
38,12,1171,140,2375,339
38,13,631,474,1253,965
38,14,976,108,1804,273
38,15,806,57,1653,161
38,16,1265,233,1978,533
38,17,587,406,1188,891
38,18,516,408,1113,913
38,20,727,436,1633,954
38,26,1104,241,1994,557
38,32,738,414,1606,924
38,35,853,210,1801,490
38,36,903,233,1834,542
38,39,798,104,1647,263
38,40,744,83,1501,179
39,2,679,164,1376,399
39,3,1018,201,2091,466
39,4,437,428,972,959
39,5,237,276,553,634
39,6,1048,357,2191,798
39,7,954,94,1942,237
39,8,1439,149,2580,351
39,9,611,164,1245,391
39,10,877,219,1801,502
39,11,1252,291,2560,661
39,12,1171,140,2378,339
39,13,632,477,1254,967
39,14,987,108,1817,273
39,15,803,57,1649,162
39,16,1283,234,1996,533
39,17,590,407,1193,894
39,18,513,407,1110,914
39,20,705,448,1585,960
39,26,1117,242,2009,558
39,32,742,414,1570,902
39,35,849,210,1794,490
39,36,902,233,1834,543
39,39,797,104,1644,263
39,40,744,83,1501,179
40,2,676,165,1375,399
40,3,1015,201,2090,467
40,4,435,428,969,962
40,5,233,277,548,635
40,6,1052,357,2177,792
40,7,952,95,1941,238
40,8,1454,150,2600,352
40,9,608,165,1243,392
40,10,857,212,1776,493
40,11,1252,285,2553,655
40,12,1172,140,2380,339
40,13,630,478,1253,967
40,14,998,108,1831,274
40,15,805,57,1640,160
40,16,1300,234,2013,533
40,17,591,409,1197,896
40,18,510,406,1105,913
40,20,691,446,1555,955
40,26,1130,242,2024,560
40,32,732,415,1550,899
40,35,842,211,1786,492
40,36,902,234,1835,544
40,39,795,105,1642,264
40,40,744,83,1501,179
41,2,673,166,1374,401
41,3,1011,201,2087,468
41,4,433,429,964,964
41,5,232,277,545,636
41,6,1054,358,2173,792
41,7,949,95,1940,239
41,8,1469,150,2619,354
41,9,605,165,1240,392
41,10,849,212,1768,495
41,11,1248,283,2546,652
41,12,1173,139,2382,339
41,13,629,478,1252,967
41,14,1008,109,1845,275
41,15,804,57,1634,160
41,16,1317,235,2031,534
41,17,592,410,1201,899
41,18,507,403,1098,909
41,20,675,455,1525,963
41,26,1144,243,2039,561
41,32,723,417,1531,898
41,35,834,212,1780,495
41,36,903,234,1836,544
41,39,793,105,1642,265
41,40,744,83,1501,179
41,45,725,418,1487,918
42,2,670,166,1372,401
42,3,1007,201,2081,469
42,4,428,430,956,965
42,5,231,276,542,635
42,6,1049,361,2165,794
42,7,945,95,1938,240
42,8,1485,151,2638,355
42,9,603,165,1238,392
42,10,841,212,1760,497
42,11,1244,282,2538,650
42,12,1175,140,2383,339
42,13,630,480,1251,968
42,14,1019,109,1859,276
42,15,808,57,1626,158
42,16,1335,235,2048,534
42,17,595,410,1207,899
42,18,503,401,1090,906
42,20,660,457,1509,964
42,26,1157,244,2054,562
42,32,712,416,1515,894
42,35,826,213,1771,498
42,36,903,234,1838,544
42,39,792,106,1641,266
42,40,744,83,1501,179
42,45,701,419,1473,927
42,47,1032,398,2122,848
43,2,667,166,1370,401
43,3,1002,202,2078,471
43,4,423,431,949,967
43,5,231,275,539,635
43,6,1015,364,2158,809
43,7,942,96,1936,241
43,8,1500,152,2657,357
43,9,601,165,1237,393
43,10,838,214,1753,500
43,11,1235,281,2529,650
43,12,1173,141,2385,342
43,13,630,482,1251,969
43,14,1030,110,1873,277
43,15,809,57,1621,157
43,17,596,409,1210,896
43,18,498,399,1081,902
43,20,645,459,1493,965
43,26,1170,244,2070,564
43,32,701,415,1500,890
43,35,818,213,1767,500
43,36,903,234,1840,545
43,39,791,106,1641,267
43,40,744,83,1501,179
43,45,687,422,1464,933
43,47,1027,399,2118,850
44,2,664,166,1368,402
44,3,997,204,2075,474
44,4,418,430,941,967
44,5,230,275,535,634
44,6,1008,366,2150,814
44,7,937,97,1936,243
44,8,1515,153,2677,358
44,9,598,166,1235,395
44,10,834,216,1746,502
44,11,1225,282,2519,652
44,12,1169,143,2388,345
44,13,650,471,1269,953
44,14,1041,110,1887,278
44,15,802,59,1623,160
44,17,601,407,1215,894
44,18,491,397,1069,900
44,20,638,458,1477,969
44,26,1183,245,2085,565
44,32,690,414,1484,886
44,35,810,214,1762,501
44,36,902,235,1841,547
44,39,789,107,1640,268
44,40,744,83,1501,179
44,45,680,437,1457,950
44,47,1018,390,2119,845
45,2,662,166,1366,403
45,3,993,205,2069,476
45,4,415,430,936,968
45,5,228,274,531,634
45,6,1003,368,2143,817
45,7,934,98,1934,246
45,8,1530,153,2696,360
45,9,594,166,1230,396
45,10,827,218,1737,505
45,11,1216,283,2510,653
45,12,1167,145,2389,348
45,13,658,467,1278,947
45,14,1052,110,1901,279
45,15,796,58,1623,161
45,17,607,405,1223,891
45,18,483,396,1056,898
45,20,623,459,1462,970
45,26,1196,246,2100,566
45,32,679,412,1468,882
45,35,802,214,1757,503
45,36,902,236,1841,548
45,39,788,107,1637,269
45,40,744,83,1501,178
45,45,667,429,1442,941
45,47,1012,384,2117,841
46,2,658,166,1360,403
46,3,988,206,2063,477
46,4,412,430,930,968
46,5,225,273,524,633
46,6,992,369,2134,823
46,7,934,99,1929,246
46,8,1545,154,2715,361
46,9,589,166,1224,396
46,10,820,219,1726,506
46,11,1207,284,2504,656
46,12,1165,147,2389,350
46,13,664,464,1286,941
46,14,1063,111,1914,280
46,15,791,59,1619,161
46,17,621,403,1240,889
46,18,474,396,1043,898
46,20,608,461,1446,971
46,26,1209,246,2115,568
46,32,668,411,1452,878
46,35,795,215,1753,504
46,36,901,236,1841,548
46,39,787,107,1634,269
46,40,744,83,1501,178
46,45,656,424,1427,935
46,47,1006,381,2109,839
46,49,999,393,2128,844
47,2,653,167,1354,404
